Player Name,Team,Match ID,Season,Teams,Key Role,Contribution Description,Outcome,Impact Rating
Faf du Plessis,RCB,1,2021,CSK vs KKR,Batsman,"Faf du Plessis led the charge, making 86 as he anchored half-century stands for each of the three wickets that fell during the course of Super Kings' 192.",CSK won by 27 runs,81.91
,,33,2023,SRH vs RCB,Batsman,"Du Plessis had key partnership with Kohli, he scored 71",RCB won by 8 wickets (with 4 balls remaining),71.8
,,39,2023,PBKS vs RCB,Batsman,"He hit 84 off 56 balls on a sluggish Mohali pitch to haul Royal Challengers Bangalore to 174 for 4, despite a late slowdown",RCB won by 24 runs,102.05
Shardul Thakur,CSK,1,2021,CSK vs KKR,Bowler,Shardul Thakur took the most wickets along with other bowlers which led to their victory.,CSK won by 27 runs,57.8
Sunil Narine,KKR,2,2021,RCB vs KKR,Batsman,"Three balls of Sunil Narine, with the bat, changed the game, putting Kolkata Knight Riders one step closer to the IPL final.",KKR won by 4 wickets (with 2 balls remaining),158.09
Virat Kohli,RCB,2,2021,RCB vs KKR,Batsman,Pressure was mounting on Kohli. He had slowed down once again after the powerplay - 24 off 16 and 15 off 17 - and his desperation was apparent.,KKR won by 4 wickets (with 2 balls remaining),46.38
,,3,2021,RCB vs MI,Batsman,Virat Kohli struck another half-century,RCB won by 54 runs,62.36
,,17,2024,SRH vs RCB,Batsman,"Virat Kohli also scored his 53rd IPL fifty, but his 51 in 43 balls came at a strike rate of 118.60, following a big slowdown.",RCB won by 35 runs,30.11
,,33,2023,SRH vs RCB,Batsman,Kohli scored a century,RCB won by 8 wickets (with 4 balls remaining),99.06
Harshal Patel,PBKS,3,2021,RCB vs MI,Batsman,Glenn Maxwell provided middle-overs firepower and key wickets,RCB won by 54 runs,34.83
Glenn Maxwell,RCB,3,2021,RCB vs MI,Batsman,Chahal took 3 wickets giving as less as 11 runs,RCB won by 54 runs,137.88
Yuzvendra Chahal,RR,3,2021,RCB vs MI,Batsman,Patel bagged a hat-trick key wicket strike,RCB won by 54 runs,74.45
Prithvi Shaw,DC,4,2021,DC vs KKR,Batsman,"Shaw cracked 82 off just 41 balls, and smashed six fours in the opening over of the chase",DC won by 7 wickets (with 21 balls remaining),112.14
Hardik Pandya,MI,5,2022,GT vs RR,Batsman,Captain Hardik Pandya starred with the ball and bat to lead Gujarat Titans to IPL glory,GT won by 7 wickets (with 11 balls remaining),137.15
Jos Buttler,RR,6,2022,RR vs RCB,Batsman,The unstoppable Buttler scores a century very easily,RR won by 7 wickets (with 11 balls remaining),137.47
,,27,2024,KKR vs RR,Batsman,Buttlers 107* tops Narines 109 as Royals ace record chase against KKR,RR won by 2 wickets (with 0 balls remaining),145.12
Prasidh Krishna,RR*,6,2022,RR vs RCB,Bowler,"Prasidh took 3 wickets, leading to victory.",RR won by 7 wickets (with 11 balls remaining),88.02
Obed McCoy,RR*,6,2022,RR vs RCB,Bowler,"McCoy took 3 wickets, leading to victory.",RR won by 7 wickets (with 11 balls remaining),72.55
Tim David,MI,7,2022,MI vs DC,Batsman,David kept hitting sixes. He got to face 10 more balls and score 34 heartbreaking runs,MI won by 5 wickets (with 5 balls remaining),73.12
,,9,2022,GT vs MI,Batsman,"David, who took them to 177 with two sixes in the final over, was despondent at the halfway mark",MI won by 5 runs,66.45
,,12,2023,MI vs RR,Batsman,"David goes 6, 6, 6 in final over creating a twist",MI won by 6 wickets (with 3 balls remaining),75.65
,,16,2024,MI vs DC,Batsman,"Tim David (45* off 21), David started the 16th over by smashing Richardson for a six. In the next two overs, he hit two more sixes",MI won by 29 runs,52.99
Jasprit Bumrah,MI,7,2022,MI vs DC,Batsman,"Jasprit Bumrah (4-0-25-3) was extraordinary. Even on a slow pitch, he hurried batters with his pace and picked up the kind of wickets that will form a fast-bowling hype reel.",MI won by 5 wickets (with 5 balls remaining),81.36
,,16,2024,MI vs DC,Batsman,Bumrah conceded only eight in the next to make it 55 needed from two overs.,MI won by 29 runs,46.29
,,28,2024,MI vs RCB,Bowler,Bumrahs 5 for 21 - he was on a hat-trick twice,MI won by 7 wickets (with 27 balls remaining),162.3
Rishabh Pant,DC,7,2022,MI vs DC,Unknown,,MI won by 5 wickets (with 5 balls remaining),
David Warner,DC,8,2022,DC vs SRH,Batsman,"David Warner took centre stage, an unbeaten 92 from 58. Key patnership with Powell.",DC won by 21 runs,95.39
,,43,2023,DC vs KKR,Batsman,"Warner stood at one end while wickets tumbled from the other. But Warner motored along to get his fourth fifty in six games this season, this one his quickest in 33 balls. The small target allowed him to keep playing his shots, and he had hit 11 fours by the time he raised his bat for the half-century.",DC won by 4 wickets (with 4 balls remaining),83.53
Rovman Powell,DC*,8,2022,DC vs SRH,Batsman,"Powell finished with three fours and six sixes in 67 from 35, with 70 runs cascading from the last five overs of the innings to put the chase beyond Sunrisers.",DC won by 21 runs,75.05
Daniel Sams,MI*,9,2022,GT vs MI,Batsman,Sams managed to go past the bat on both occasions with full and wide slower balls.,MI won by 5 runs,15.16
Ravindra Jadeja,CSK,10,2023,GT vs CSK,Batsman,Jadejas last-ball four seals fifth title for CSK in rollercoaster final,CSK won by 5 wickets (with 0 balls remaining) (DLS method),68.81
,,45,2023,MI vs CSK,Batsman,Dhoni brought Jadeja into the attack immediately after the powerplay and the allrounder responded by having Kishan hole out for 32 off 21 balls.Jadeja kept bowling into the Wankhede pitch and came away with the wickets of Tilak Varma (22) and Cameron Green (12) as well.,CSK won by 7 wickets (with 11 balls remaining),84.77
Shubman Gill,GT,11,2023,GT vs MI,Batsman,Shubman Gills majestic 129 off 60 balls powered Gujarat Titans into the final of IPL 2023,GT won by 62 runs,164.45
,,15,2023,RCB vs GT,Batsman,Gills unbeaten 104 featured seven more sixes than Kohlis 101 not out,GT won by 6 wickets (with 5 balls remaining),141.54
Mohit Sharma,GT,11,2023,GT vs MI,Batsman,"Mohit, who hadnt bowled till the 14th over, used his slower balls to good effect and finished with figures of 2.2-0-10-5.",GT won by 62 runs,37.39
Ruturaj Gaikwad,CSK,13,2023,DC vs CSK,Batsman,"Gaikwad scored 79, and caught 2 catches.",CSK won by 77 runs,89.22
,,30,2024,CSK vs RR,Batsman,"Captain Gaikwad stayed true to his anchor role for this chase, and saw his team home despite Jadeja getting himself out obstructing the field",CSK won by 5 wickets (with 10 balls remaining),28.64
Devon Conway,CSK*,13,2023,DC vs CSK,Batsman,"Conway scored 87, having a great partnership with Gaikwad.",CSK won by 77 runs,94.45
,,31,2023,CSK vs PBKS,Batsman,"Devon Conway walloped an unbeaten 92,",PBKS won by 4 wickets (with 0 balls remaining),105.83
Prerak Mankad,LSG,14,2023,SRH vs LSG,Batsman,"Mankad 64, led him to be the player of the match",LSG won by 7 wickets (with 4 balls remaining),57.3
Nicholas Pooran,LSG,14,2023,SRH vs LSG,Batsman,Pooran stayed unbeaten on 44 off 13.,LSG won by 7 wickets (with 4 balls remaining),77.25
,,32,2023,KKR vs LSG,Batsman,"At 73 for 5 in the 11th over, they didnt look like scoring even that many, but Nicholas Poorans 30-ball 58 lifted them.",LSG won by 1 run,97.04
,,40,2023,RCB vs LSG,Batsman,"He ended with 62 from 19. Seven of those balls were hit for sixes, and four of them for fours. Carefree, unstoppable T20 batting, with the swag, muscle and calmness of Sir Viv",LSG won by 1 wicket (with 0 balls remaining),134.24
,,50,2024,RR vs LSG,Batsman,Key patnership with KL Rahul,RR won by 20 runs,64.06
Romario Shepherd,MI,16,2024,MI vs DC,Batsman,"Romario Shepherd (39* off 10), Shepherd who made the bigger dent. In the 20th over, he bludgeoned Nortje for 4, 6, 6, 6, 4, 6 to crush Capitals morale.",MI won by 29 runs,93.01
Tristan Stubbs,DC,16,2024,MI vs DC,Batsman,Stubbs hit two sixes off Shepherd at the start of the 19th and ended it with another six,MI won by 29 runs,71.28
Gerald Coetzee,MI,16,2024,MI vs DC,Bowler,Coetzee conceded only four and also picked up three wickets as Stubbs got stuck at the non-striker's end.,MI won by 29 runs,27.21
