Username,TimeStamp,Text,Replies,Retweets,Likes,Sentiment
Travis Head,2024-05-27T21:13:43.000Z,"SunRisers Hyderabad and Abhishek SharmaIndia is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K,0.6901
TukTuk Academy,2024-05-29T13:41:20.000Z,"India is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K,0.6901
Silly Point,2024-05-28T05:57:09.000Z,"India is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K,0.6901
Aakash Chopra,2024-05-28T17:30:36.000Z,"India is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K,0.6901
Sportskeeda,2024-05-28T11:28:03.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K,0.3612
Travis Head,2024-05-26T17:27:20.000Z,"SunRisers HyderabadSRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K,0.3612
Ormax Media,2024-05-24T12:08:36.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K,0.3612
Comedy Tonic Telugu,2024-05-22T18:00:10.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K,0.3612
Nisha Rose,2024-05-25T16:45:11.000Z,"From 
Sridhar MSRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K,0.3612
RVCJ Sports,2024-05-29T02:48:45.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K,0.3612
Farid Khan,2024-05-27T09:53:15.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596,0.6369
ESPNcricinfo,2024-05-28T09:21:51.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596,0.6369
TEAM MS DHONI #Dhoni,2024-05-22T18:37:54.000Z,"0:08
From 
KrithzShah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596,0.6369
ESPNcricinfo,2024-05-26T18:43:54.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596,0.6369
RVCJ Sports,2024-05-24T13:48:27.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596,0.6369
Mayank Agarwal,2024-05-24T19:44:02.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K,0.8225
PuthiyathalaimuraiTV,2024-05-29T13:26:35.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K,0.8225
Chennai Super Kings,2024-05-29T11:12:05.000Z,"1:54Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K,0.5859
Stake.com,2024-05-25T07:40:00.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K,0.8225
Sportskeeda,2024-05-29T07:35:34.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K,0.8225
Filmfare,2024-05-27T06:17:07.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K,0.8625
Ayyappan,2024-05-24T18:03:49.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K,0.8625
George,2024-05-26T15:32:55.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K,0.8625
ESPNcricinfo,2024-05-27T18:04:57.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K,0.8625
Ram Garapati,2024-05-29T13:31:04.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K,0.8625
Litton Das,2024-05-26T19:29:12.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K,0.9402
Filmfare,2024-05-27T13:14:25.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K,0.9402
Cricbuzz,2024-05-28T05:04:33.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K,0.9402
ESPNcricinfo,2024-05-25T17:00:00.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K,0.9402
Saravanan Hari,2024-05-22T18:33:00.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K,0.9402
Wasim Jaffer,2024-05-22T15:24:35.000Z,"Bat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K,-0.6249
Filmfare,2024-05-27T13:15:44.000Z,"Bat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K,-0.6249
Saravanan Hari,2024-05-22T18:36:26.000Z,"From 
RadooBat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K,-0.6249
Farid Khan,2024-05-22T17:34:40.000Z,"From 
JioCinemaBat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K,-0.6249
Red Chillies Entertainment,2024-05-21T17:27:00.000Z,"Bat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K,-0.6249
AB de Villiers,2024-05-29T07:06:53.000Z,"Bat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K,-0.6249
Sun News,2024-05-23T02:22:35.000Z,"#IPLUpdate | RR வெற்றி மற்றும் RCB தோல்வியை மீம் திருவிழாவாகமாற்றிய ஐபிஎல் கிரிக்கெட் ரசிகர்கள்!

#SunNews | #RCB | #IPL2024 | #Memes",36,821,4K,0.0
PuthiyathalaimuraiTV,2024-05-23T09:52:47.000Z,"#IPLUpdate | RR வெற்றி மற்றும் RCB தோல்வியை மீம் திருவிழாவாகமாற்றிய ஐபிஎல் கிரிக்கெட் ரசிகர்கள்!

#SunNews | #RCB | #IPL2024 | #Memes",36,821,4K,0.0
Red Chillies Entertainment,2024-05-26T17:01:25.000Z,"#IPLUpdate | RR வெற்றி மற்றும் RCB தோல்வியை மீம் திருவிழாவாகமாற்றிய ஐபிஎல் கிரிக்கெட் ரசிகர்கள்!

#SunNews | #RCB | #IPL2024 | #Memes",36,821,4K,0.0
Royal Challengers Bengaluru,2024-05-22T10:53:03.000Z,"#IPLUpdate | RR வெற்றி மற்றும் RCB தோல்வியை மீம் திருவிழாவாகமாற்றிய ஐபிஎல் கிரிக்கெட் ரசிகர்கள்!

#SunNews | #RCB | #IPL2024 | #Memes",36,821,4K,0.0
DTDC Express Limited,2024-05-25T07:03:37.000Z,"#IPLUpdate | RR வெற்றி மற்றும் RCB தோல்வியை மீம் திருவிழாவாகமாற்றிய ஐபிஎல் கிரிக்கெட் ரசிகர்கள்!

#SunNews | #RCB | #IPL2024 | #Memes",36,821,4K,0.0
Rohit Jaiswal,2024-05-26T16:48:15.000Z,"2023 - Comeback year of #Srk with #Pathaan #Jawan & #Dunki, 
3 super successful films….. 

2024 - KKR  IPL CHAMPIONS 

Back to back successful for our king #ShahrukhKhan….. 

#Ipl #Ipl2024 #kkr #IplFinal",22,418,2.7K,0.9488
Shah Rukh Khan Universe Fan Club,2024-05-29T06:02:01.000Z,"2023 - Comeback year of #Srk with #Pathaan #Jawan & #Dunki, 
3 super successful films….. 

2024 - KKR  IPL CHAMPIONS 

Back to back successful for our king #ShahrukhKhan….. 

#Ipl #Ipl2024 #kkr #IplFinal",22,418,2.7K,0.9488
News Tamil 24x7 | நியூஸ் தமிழ் 24x7,2024-05-25T11:07:35.000Z,"2023 - Comeback year of #Srk with #Pathaan #Jawan & #Dunki, 
3 super successful films….. 

2024 - KKR  IPL CHAMPIONS 

Back to back successful for our king #ShahrukhKhan….. 

#Ipl #Ipl2024 #kkr #IplFinal",22,418,2.7K,0.9488
Star Sports,2024-05-26T19:11:26.000Z,"2023 - Comeback year of #Srk with #Pathaan #Jawan & #Dunki, 
3 super successful films….. 

2024 - KKR  IPL CHAMPIONS 

Back to back successful for our king #ShahrukhKhan….. 

#Ipl #Ipl2024 #kkr #IplFinal",22,418,2.7K,0.9488
Filmfare,2024-05-28T05:50:23.000Z,"2023 - Comeback year of #Srk with #Pathaan #Jawan & #Dunki, 
3 super successful films….. 

2024 - KKR  IPL CHAMPIONS 

Back to back successful for our king #ShahrukhKhan….. 

#Ipl #Ipl2024 #kkr #IplFinal",22,418,2.7K,0.9488
