Username,TimeStamp,Text,Replies,Retweets,Likes
AKASH AK,2024-05-29T15:51:03.000Z,"Magical moments in last year finals  

#IPL2023 #CSK",,1,1
ℙ𝕒𝕣𝕥𝕙𝕚 𝔸𝕜,2024-05-26T13:14:57.000Z,"Magical moments in last year finals  

#IPL2023 #CSK",,1,1
Sowmyanarayanan,2024-05-29T16:25:52.000Z,"#CSK #Yellove #IPL2023 #IPLFinal23Magical moments in last year finals  

#IPL2023 #CSK",,1,1
Yellove aficionado,2024-05-29T17:13:49.000Z,"Chennai Super Kings
@ChennaiIPL
·
4h
Drop your favourite moment  from the Finale of IPL2023! 

#ReliveChampions23 #WhistlePodu Magical moments in last year finals  

#IPL2023 #CSK",,1,1
Nilvez ☢︎,2024-05-29T09:02:25.000Z,"Magical moments in last year finals  

#IPL2023 #CSK",,1,1
Cricketman,2024-05-29T05:04:49.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3
Mumbai Indians,2023-03-26T08:21:28.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3
𝑨𝑵𝑲𝑰𝑻 𝒙 𝑹𝑪𝑩,2024-04-25T04:59:19.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3
Royal Challengers Bengaluru,2023-05-01T18:07:25.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3
Cricbuzz,2024-05-29T04:04:08.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3
Wisden India,2024-05-29T05:29:21.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3
Mumbai Indians,2023-04-06T15:17:19.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K
Dr.MAITREYA,2024-05-11T17:42:24.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K
SaiRam Reddy,2024-05-23T11:19:07.000Z,"0:15𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K
RVCJ Sports,2024-05-17T18:55:04.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K
GetsCinema,2024-04-25T04:44:42.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K
Mumbai Indians,2023-05-21T18:40:01.000Z,"Tilak Varma and 3 others𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K
News & Quotes,2024-05-24T17:43:05.000Z,"#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2
Mumbai Indians,2023-05-24T18:58:07.000Z,"Rohit Sharma#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2
